,Treinamento,Etiquetas,Classificado
255,"👨‍🏫 guia: entenda o #valorant ignition series e saiba como funciona o circuito

veja quais são os próximos campeonatos 👇

https://t.co/ulpx456gd7 #valorantzonegg https://t.co/mgwfa7gpam",2,Irrelevante
256,"@valorantbrasil 13 horas pra traduzir um texto 
parabens valorant brasil",1,Relevante
257,ruan não me acordou 3:50 pra jogar valorant não né? corno,1,Relevante
258,"vai se fude, eu te amo valorant https://t.co/frrmhlugxt",1,Relevante
259,basic to tara valorant https://t.co/ir5l44eu6i,1,Relevante
260,"agora alguém da chat no valorant pra mim

eu: ?? 

apenas 🤡",2,Irrelevante
261,trampo o dia inteiro garanto meu ¥ diário volto p casa como bem jogo valorant queimo um importado papo reto q n tamo tão mal assim n sabe,2,Irrelevante
262,"aí, esse valorant tá me ferrando no lol, sempre gasto flash na base quando começa a partida, pq já saio usando w a s d",2,Irrelevante
263,"já fiz um ou outro no cs, mas atualmente o valorant tambem ouvi dizer que dá https://t.co/kgw1j5kalt",1,Relevante
264,@bruno_buceta uma vez isso aconteceu no valorant e no discord e era pq o anti cheat do jogo tava fudendo o discord e o pc junto 💀💀💀,2,Irrelevante
265,rt @putzbacca: bora de live extra cambada!! #valorant @twitchsie &gt;&gt;&gt;&gt; https://t.co/rwbl5vmtuk,2,Irrelevante
266,"eu dormi no meio da partida de valorant kejruskdhskdod e o pior, com o discord conectado...............",2,Irrelevante
267,valorant tá deixando minha mira no cs defeituosa,1,Relevante
268,30 de fps no valorant mano que inferno,1,Relevante
269,@saloma1wk faz no valorant?,2,Irrelevante
270,@cyanloveserafim secalhar ela viu aqueles posts duvidosos que metes like 🤷🏻‍♂️,2,Irrelevante
271,nunca mais joguei com criança no valorant e tô triste por isso :(,2,Irrelevante
272,"@rafamineblox eae, entra no valorant ai",2,Irrelevante
273,"se tem uma palavra que me define no valorant é: zikada

meu time jogando sem mim: bind, haven, ascent
meu time jogando comigo: split, split, split

jogo tá 7x1 e eu percebo: perdemos de virada
falo que o jogo tá tranquilo: perdemos",1,Relevante
274,procuro um novo squad no valorant.,1,Relevante
275,"@worldbuffett ninguém mais aguenta, geral pegou trauma de valorant",2,Irrelevante
276,se o vanguard funcionasse no pc da minha mãe eu ia conseguir jogar valorant https://t.co/qyvehxr1we,1,Relevante
277,"✅ @envy troca @akiscsgo e @c4lypso_ por @food_cs e @crashies no elenco ativo de #valorant

boa aquisição? a dupla já atuava junto na t1

https://t.co/fcyqdggyxd #valorantzonegg https://t.co/cnp7xi71ac",2,Irrelevante
278,vou voltar a jogar valorant feito gente,1,Relevante
279,que porra ta acontecendo com o server do valorant ?,1,Relevante
280,@paivacsgo e pq tu n viu como esta o valorant kkkkkkkkkkkk,1,Relevante
281,"rt @va_nessao: live on! vamos de valorant, mais tarde vamos de rp
links aí em baixo",2,Irrelevante
282,"rt @thakersgaming: curte fortnite, valorant, fall guys, ?  na live do tuco tem isso e mais um pouco! 🤠

@arthur_lopes3 seja muito bem vindo…",2,Irrelevante
283,"@pittspotty um pouco de lol, comecei a jogar valorant a uns 3 dias, minecraft, among us e, é isso, eu acho",2,Irrelevante
284,"tava jogando valorant com laryssa e emerson e eu tava com a sage né, aí a menina comentou ""a sage é fraca, até mesmo com escudo"" laryssa xingou a menina de ""idiota"" porque ela estava falando de mim, só que o problema tá no seguinte: o microfone da larê tava aberto e todos ouviram",2,Irrelevante
285,"rt @heywolfx: @essetalmatheus @yasjardim @atleticaaecs sim, cara. o que eu vejo da comunidade de valorant me enoja muito, lol tem momentos…",2,Irrelevante
286,"02:30
11-5
12-14
boa noite. odeio valorant.",1,Relevante
287,"a única vontade no momento
jogar bem valorant 

tempo, temos? não temos",1,Relevante
288,"só pra registrar do dia em que fiz um ace pela primeira vez 😍
e ainda fui mvp da partida 💙
.
.
#valorant #raze #mvp #ferro1 #fps 
#pewpewpew https://t.co/eucjpy2dwd",1,Relevante
289,"rt @ktzsrj: valorant | vai, faz a fila 😳 https://t.co/zl7eura71u",2,Irrelevante
290,galera do valorant se liga ai! andrezao fa https://t.co/9jsnfz6bae,2,Irrelevante
291,"@valorant_jota mintirah, foi no insta 😎",2,Irrelevante
292,socorro eu e o @davizinhn não conseguimos parar de jogar valorant,1,Relevante
293,"professor da pausa de 10 minutos, eu "" um vô jogar um valorant dá tempo sim""",2,Irrelevante
294,a comunidade de valorant consegue ser doente ao ponto de ser racista com jogadores que estão usando um personagem negro na moral vão se tratar https://t.co/ywelyoxkwq,2,Irrelevante
295,@viniciusl14 como se inscreve vini? queria jogar o de valorant,2,Irrelevante
296,"valorant jogador de merda
https://t.co/d1it4jgdxe",2,Irrelevante
297,crlh fiz um ace gostoso no valorant agora,1,Relevante
298,"soltamos um servidor no discord pra quem quer ver mais sobre #valorant, montar times, trocar uma ideia soltar clipes e divulgar lives, o server é do xsaladarato, hoje imortal 1 subindo para o radiante ! só colem nas lives e no discord. https://t.co/jwmkclvbek",2,Irrelevante
299,"@roogomes nem jogo valorant, mas de tanto ver cê jogar tá me dando vontade. kkkkk",1,Relevante
300,"@neshastore dps que eu joguei valorant, todas as minhas armas sem skins, eu percebi que não é a skin que dá skill e sim você! então não",1,Relevante
301,"é
madruguei no valorant",1,Relevante
302,"queria começar a jogar valorant, mas oq impede eh a falta do pc e da net boa",1,Relevante
303,@baekpiolho vamos jogar valorant?,2,Irrelevante
304,"rt @snwgg_: sábado, dia 12/09, nosso time de valorant, disputou o on fire cup, ganhando duas partidas e perdendo para a @detonagoficial.

#…",1,Relevante
305,da pra joga valorant suave,1,Relevante
306,eu sou muito ruim no valorant... der me free,1,Relevante
307,valorant podem a prova se meu coração ta bom ou não kkkkkkkk cada susto viado,1,Relevante
308,@rchieev g na valorant,2,Irrelevante
309,"@triaslox0 não concordo tho, acho que são jogos simples e divertidos de jogar. a comunidade precisava disso, está tudo farto de ver sempre os mesmos jogos e géneros, já ninguém aguenta lol, valorant e battle royales em geral. acho que esses jogos vieram foi dar uma vida nova ao gaming",2,Irrelevante
310,"mais uma noite sem derrota no valorant
hail satan",1,Relevante
311,@macielgabbs @heloiszza maciel vc joga valorant,2,Irrelevante
312,"@gsmzxv @blxckoutz não é questão de aguentar (apesar de muitos milhares ainda gostarem do jogo, tipo eu), mas no caso do black, virou uma fonte de renda, ele lucrou muito do jogo, e ele não é burro de parar de jogar, perder esse lucro inteiro e um competitivo simples de se jogar pra jogar valorant",2,Irrelevante
313,indo jogar valorant depois de 2 semana dedicado ao dota meu deus eu devo tá uma bosta,1,Relevante
314,acho que vou jogar valorant,1,Relevante
315,@mostopp a desenvolvedora do lol e do valorant,2,Irrelevante
316,algem pode jogar valorant so mandar o id👍🏼,1,Relevante
317,among us or valorant?ksksks @jae_day6 #fromfriendsjaeandjed,2,Irrelevante
318,ô valorant bucet,2,Irrelevante
319,"@justmeyasd que isso, amiga. qualquer coisa eu te migro pro valorant igual fiz com o cs rs",2,Irrelevante
320,rt @mistyumi: é um castigo ser bronze no valorant,2,Irrelevante
321,"@zirondigabi amanhã eu carrego não valorant, vai rolar o among nunca?",2,Irrelevante
322,qm usa odin no valorant bate na mae vei https://t.co/bj4yq8n2rj,2,Irrelevante
323,valorant tá off?,2,Irrelevante
324,"@joannynhaa só vale a pena se vc for jogar com seus amigos em call fechada, pq sozinha misericórdia kkkkkk mas tem uns modos bem legais q da pra vc jogar só, tem o tft tem o legends of runeterra q é muito lindo, tem o valorant (tipo um cs go)",2,Irrelevante
325,"e o valorant que nao loga de jeito nenhum, diz q vai ficar indisponivel dia 16 sendo q hj è dia 15 seus burros",1,Relevante
326,@eusalviini o cara joga valorant e quer farpar c meu monster 🤣🤣🤣🤣,2,Irrelevante
327,@henriqu24321714 @sofiaabarreto_ @isildzs @andredantas06 cs e valorant nn eh pesado,2,Irrelevante
328,"pqp, q enrola pra começar essa partida em valorant, porraaa",2,Irrelevante
329,pensando na menina q me xingou ontem no valorant,2,Irrelevante
330,"coisas inúteis sobre mim

altura — 1,67
tamanho do pé — 39
signo — aquário 
tatuagens — 0 (por enquanto)
piercing — 0
cor fav — azul e amarelo 
série fav — the society 
animal fav — gato
comida fav —  pizza
bebida fav — água
jogo fav — the last of us e valorant https://t.co/mm6a8ew57r",2,Irrelevante
331,bom dia oq sera q acontece se eu matar todas minhas aulas p aparender a jogar valorant,1,Relevante
332,procurando duo pra valorant já que o meu se aposentou.,1,Relevante
333,"vídeo novo:😀
https://t.co/bp6fdvh8ie

#twitchstreamer #clips
#lol #valorant #leagueoflegends #gameplay #alanzoka #gaules",2,Irrelevante
334,vou jogar valorant,1,Relevante
335,a menina vem me fazer inveja e chantagem como se eu ligasse kkkkkk a única coisa que eu ligo é para meu elo no valorant fia,2,Irrelevante
336,"grandes jogos na scrim, grandes jogadas no valorant e comecei a assistir kimetsu no yaiba, hoje foi um dia muito bom",2,Irrelevante
337,o cara joga mt qm tiver interesse e tiver procurando uma line de valorant considere bastante chamar ele https://t.co/ux6zskbwzv,1,Relevante
338,"caralho, alguém me da um pc, até valorant trava, eu sou apaixonado nessa merda, mas eu não consigo rodar saporra, por causa do meu notebook de sla, 2006 (?)",1,Relevante
339,"só assim pra unir os jogos dnv , o free fire faz muito mas sucesso que valorant, etc e os criador de jogo n pensa nisso !! 

gráfico bom é o crlhoo https://t.co/2sledujs7q",2,Irrelevante
340,nossa a shannon fez a voz da jett do valorant nem imaginava,1,Relevante
341,vai tomar no cu valorant 🥺,2,Irrelevante
342,baixei vai luan (valorant) pra deixar de enfeite 🤗,2,Irrelevante
343,"louca pra fazer umas lives de valorant, a pinadeira vai ser grande kkkkkkkk",1,Relevante
344,jerax ta jogando valorant com uma mesa digitalizadora wtf huashsauhduisa,2,Irrelevante
345,"@_viniicim na verdade nesse caso eu tô falando de valorant kkkkk mas eu jogo cod (mobile, console e pc) e ff tbm e nunca ngm me encheu o saco graças a deus",2,Irrelevante
346,"é bala de marshal que tu quer? então tooma qota?
#valorant #valorantclipes use @aimlab

https://t.co/wrkwxlfadd",2,Irrelevante
347,"@amndvndrmi fica até de madrugada jogando valorant &gt;:t

se prepare para as enxaquecas que vai ter :v",1,Relevante
348,rt @scheibwe: qm usa odin no valorant bate na mae vei https://t.co/bj4yq8n2rj,2,Irrelevante
349,rc gg!,2,Irrelevante
350,"man, meu vizinho, é jogador de valorant, as vezes dá vontade de chamar ele pra jogar, mas né, ainda nn vi o ângulo certo pra tacar uma pedra na janela dele com um bilhete.",1,Relevante
351,@portwgas esse jogo só me estressa... joguei hj dnv dps de sl quanto tempo só pra me irritar... valorant tá mais divertido,1,Relevante
352,esse povo que atrasa o rolê por causa de valorant hmmmm,1,Relevante
353,"mudando de horário para tentar fugir do calor.  a mira continua ruim, mas agora pelo menos a live tem legendas também! cola aí!

https://t.co/9p3ptfjl5a

#twitch #twitchstreamer #quadstick #ablegamers #ablegamersbr #valorant",2,Irrelevante
354,@antonioabreu08 amanha no valorant,2,Irrelevante
355,"@hnrl_uicolvs eu jogo: lol, valorant, fall guys, dbd e qualquer outro jogo que surgiu no caminho sapokdasop",2,Irrelevante
356,"se você tem um time de valorant e tá precisando de uma máquina de kills, da uma chance pra esse mlk!!!!! https://t.co/gwdwdr9jgm",2,Irrelevante
357,toda partida de valorant que eu jogar cmo o monitor novo vai acabar comigo com lagrimas nos olhos de tanta felicidade,1,Relevante
358,"@douradomg radiante em 4 contas, ploplauer de valorant ex campeão mundial da bit de cs go, chegando forte para agregar ao cenário plofissional de valoroso.",2,Irrelevante
359,"dormir bem hoje, pq amanha é dia de pegar imortal no valorant",1,Relevante
360,"peguei jett pra bagunçar! | #valorant @hastadlol  https://t.co/bvcicvooge 

ultra talentoso",2,Irrelevante
361,"quais são os melhores mapas pra treinar no aimlab pra valorant? @hastadlol vc eu vejo treinando, da um help?",2,Irrelevante
362,"mano minha cabeça acabou de explodir fazendo uma teoria sobre a radianita do valorant, me senti o @ipproducoes0 agr",2,Irrelevante
363,eu sou tenebrosa no valorant meu deus do ceu,2,Irrelevante
364,"juro q nao sei como eu consigo ser tao ruim no valorant, pela minha experiencia de fps eu devia no minimo bater em cara do gold e platina, mas nem isso eu consigo",1,Relevante
365,to pensando migrar pro valorant,1,Relevante
366,até o fim do ano eu vou voltar a jogar valorant prometokkkk,1,Relevante
367,"rt @otaviogotoso: @lszin_ @rafafranca08 @caduziiiin @sofiaespanha @issueilish exato mano, ontem joguei cs com um e um cara pior q eu me xin…",2,Irrelevante
368,@p_aulov vamoooo valorant (sou ruim em todos os jogos),2,Irrelevante
369,alguém ae ta conseguindo comprar valorant points com paypal? n tem a opção pra mim :/,1,Relevante
370,fps dropando pra 50 no valorant #esquece estourado,1,Relevante
371,triste por motivos de sou ruim no valorant,1,Relevante
372,"estou em direto na twitch. vê em https://t.co/xtfnqjhbpg valorant ranked com o melhor coach!!

@growupesports
@coachcruzz",2,Irrelevante
373,"@panni_xd ta falando do valorant??? meu time ficou com o mesmo problema, eu usou oi e tava de boa",2,Irrelevante
374,"rt @juaumz: acabou porra!!! tão cedo quero saber de lol 

mas já adianto logo.... alguém aí joga fifa? valorant?

como sempre.... novidades…",2,Irrelevante
375,@miyyx nao estressa igual valorant e é so risadao,2,Irrelevante
376,"o massa é que eu jogo valorant com fps caindo em 5, tm, e ainda fico em segundo, salvando altos rouds, os cara n faz uma pra ver",2,Irrelevante
377,"vocês ja seguem minha twitch?

faço live duas vezes na semana, jogando valorant, minecraft, até uns jogo de terror mal feito.

https://t.co/lzp2cpz7p6

rt + vouch = 😎🙏 (da rt na moral)",2,Irrelevante
378,@asashi____ @_lalluxxbaby_ valorant = valora a tus amigos 😼🤝,2,Irrelevante
379,mais um cheater no valorant...,2,Irrelevante
380,@tacocs mas valorant são 5...,2,Irrelevante
381,"sábado, dia 12/09, nosso time de valorant, disputou o on fire cup, ganhando duas partidas e perdendo para a @detonagoficial.

#gosnow💙 https://t.co/dfjd80ua64",2,Irrelevante
382,alguém quer jogar valorant?,1,Relevante
383,vai se fude te odeio valorant,1,Relevante
384,"do cs pro valorant,percebi que eu não sei jogar nenhum deles",1,Relevante
385,gostei até de valorant,1,Relevante
386,vo faze resenha de valorant quem apoia https://t.co/6njwqd5l5u,2,Irrelevante
387,"@bellastarkweed depois vamo marcar de jogar, que aí a gnt perde junto kkkkkkk tô jogando mais é valorant, cs tem uma cota q n jogo",2,Irrelevante
388,só quero viver de valorant agr,1,Relevante
389,"@ancapmat lol
dota
cs
valorant
r6
destiny
osu
e muito mais, vish",2,Irrelevante
390,"eu: nossa to sem tempo pra jogar

eu tbm: hmm acho que vou instalar valorant",1,Relevante
391,rt @tehxcs: jogando com promesas do xile na valorant https://t.co/rzokpbpadn,2,Irrelevante
392,"a coisa que eu mais odeio no valorant são os ferro/bronze falando como se tivessem propriedade de falar algo, porra vc tá no elo mais baixo do jogo para de encher o saco e joga essa porra calado se vc fosse tão bom n tava nesse elo caralho ""tem que ter duelista e n sei oq"" sifude",1,Relevante
393,toda hr tem atualizaçao no valorant pqp,1,Relevante
394,@starkiandog bate no portão e pede para esposa se pode jogar valorant com o marido dela kkkkkkk,1,Relevante
395,uma partidinha de valorant antes de dormir pra descansar 100% tiltado,1,Relevante
396,valorant roda em notebook?,1,Relevante
397,eu e a giovanna tomando um pau no valorant,1,Relevante
398,"@joaozinhh1 @vooolski te chamar pra jogar valorant, vc sempre me dispensa",2,Irrelevante
399,https://t.co/iq7cetff71 valorant dps lolzin até acad,2,Irrelevante
400,faz tempo que eu não jogo valorant,1,Relevante
401,só queria trocar tiro no valorant mas a internet n deixa,2,Irrelevante
402,@mahbelfortt_ queria mt vc jogando valorant cmg 🥺,1,Relevante
403,"“ainda tá jogando?”
“não, tiltei”

valorant pq acabastes com o resto de paciência e sanidade mental que eu ainda tinha, viado",1,Relevante
404,"rt @luisgomesc_: aula no ead começa:
******: ei bora jogar um x1 cs
*****: bora valorant

kkkkkkkkkkk tudo indo bem por aqui",2,Irrelevante
405,manoo o valorant bugou saiu sozinho do jogo mas que caraio,1,Relevante
406,"@grilogouveia @zigooss @notfanp @nyohlzz to pensando ate agora como q vcs foram ter essa ideia kkkk
tipo oh bora fazer uma pika no valorant kkkk",2,Irrelevante
407,"@netokjj @thaliciaa__ valorant não tem mercado ainda, não valoriza, não desvaloriza... e as contas não tem atributos pra valerem a venda ainda, mas manda o id dela aí",1,Relevante
408,era só um valorant com a dudik pra por um sorriso no meu rosto,1,Relevante
409,@pablovermell meu nick do lol e do valorant é o mesmo do @,2,Irrelevante
410,... nao gostei perdi vou eh jogar valorant msm vei,1,Relevante
411,eu jogando valorant https://t.co/nrh66ynby3,2,Irrelevante
412,"rt @dyxidtc: é guys, infelizmente é o fim da line da sws de valorant, sendo assim, estou free agent.. 🙌🏻",2,Irrelevante
413,"coisas inúteis sobre mim
altura — 1,77
idade — 17
tamanho do pé — 42
signo — sagitário ♐️ 
tatuagens ー 0 
piercing ー 0
cor fav ー vermelhooo 
série fav ー suits
animal fav ー a baleia da @raychristine6 
comida fav ー japonesa 
bebida fav ー fanta uva 
jogo fav ー valorant https://t.co/gofdm7xbyi",2,Irrelevante
414,vontade de jogar valorant credo,1,Relevante
415,"deixando live da twitch aberta pra poder resgatar pontos e trocar por skins no valorant, a que ponto eu cheguei...",2,Irrelevante
416,(pt-br/en/18+) hora de dar tiro e risada! vem jogar valorant! https://t.co/p2rchylt73,1,Relevante
417,rt @kittycatnini: sewing stream surpresa!!! hoje vamos trabalhar no cosplay da killjoy!!! anda dizer um olá 💖💖💖 desafio aceite @valorant_pt…,2,Irrelevante
418,"passada que tinha 700 pessoas na live da lela, foi só ela falar ""valorant"" que metade saiu",2,Irrelevante
419,@duda_who dormir 5 da manha por jogar valorant?,1,Relevante
420,@vrau222 valorant amanha 10h na pegada,2,Irrelevante
421,@_ferreiradudu eu tô aq xingando e batendo a mesa com o valorant,2,Irrelevante
422,black saiu do valorant direto pra scrim pro o mlk é uma lenda,2,Irrelevante
423,caralhoooooo eu não aguento essas mil atualizações do valorant aleatoriamente,1,Relevante
424,"rt @v1nnyzera: primeiro video de valorant frags
rts humildes
https://t.co/ye8or9mtyf",2,Irrelevante
425,"tá p existir jogo mais bugado do que valorant, pqp",1,Relevante
426,"coisas inúteis sobre mim... 
altura: 1,63,
numero do calçado: 37
signo/mbti: leão // nsei
tattoo: 0
piercings: 0
cor: preto, vermelho e roxo
série fav: euphoria
anime fav: kakegurui/citrus
comida: yakisoba 
bebida: pepsi, coca e água 
jogo fav: valorant, mine, re2r, twkkk https://t.co/adzh4segtu",2,Irrelevante
427,é mt fdp jogando valorant é impossível não ser tóxico,1,Relevante
428,@koalailluminati @sheviii2k reclamar do valorant n eh reclamar da vida,2,Irrelevante
429,"rt @beatfps: tô procurando uma line pra jogar uns camp no valorant, tô solo e jogo de suporte, mas também posso fazer entry se nescessário.…",2,Irrelevante
430,valorant desgraçado consumindo meu tempo,1,Relevante
431,"rt @siqueira____: cs &gt; valorant
o fer é um monstro
nba2k20 é horrivel
castanhari &gt; ead

verdades do dia",2,Irrelevante
432,se liguem nesse lindinho do valorant https://t.co/kbsntu5iwm,2,Irrelevante
433,#valorant instalado https://t.co/0meybazkpm,2,Irrelevante
434,slc nem noé carregou o tanto de animal q nem eu carreguei os cara jogando valorant ontem,1,Relevante
435,"mais uma grande noite de valorant 
jogado 4, perdemo as 4 e a dignidade junto boa noite",1,Relevante
436,eu n sei se streamo valorant 4fun ou se pego brawhalla/lol pra tryhardar,2,Irrelevante
437,"rt @valorantbrasil: ⚠️ atenção!

precisamos de um pouco mais de tempo para fazer alguns ajustes, portanto a nova atualização de valorant se…",2,Irrelevante
438,"rt @hfasmclown: https://t.co/9gd8md5jwx
oi,primeiro video de fortnite depois de jogar valorant,não sejam toxicos d:",2,Irrelevante
439,"rt @phjoga10_: mt silverio abandona a carreira como dj e vira pro player de valorant, em breve nos cinemas",2,Irrelevante
440,eu me humilharia muito fácil pela viper do valorant,2,Irrelevante
441,"rt @masterseriespt: são 10,000€ em disputa na @asusrogpt master series @valorant_pt ! queres mostrar o teu valor na península ibérica? esta…",2,Irrelevante
442,"vo joga um valorant, caguei pra soloq",1,Relevante
443,"⚠️ atenção!

precisamos de um pouco mais de tempo para fazer alguns ajustes, portanto a nova atualização de valorant será atrasada em 24h.

a nova atualização será implementada amanhã, quarta-feira (16/09), a partir das 13h (horário de brasília).

agradecemos a compreensão! https://t.co/gdsbkcpbpr",2,Irrelevante
444,queria jogar valorant imagina uma partidinha agr disputa da spike,1,Relevante
445,so o crime no valorant https://t.co/2itq6juhhf,1,Relevante
446,"rt @sacylol: fica aqui meu agradecimento para vocês

todo o apoio que tive nas streams, começando pelo lol, transformou minha vida toda, e…",2,Irrelevante
447,primeira partidinha de valorant pai ja chega fazendo ace,1,Relevante
448,"team pirates esports investe no @valorant_pt 🔵⚪️

hoje anunciamos a nossa aposta na modalidade de valorant, onde procuramos uma equipa competitiva para nos representar.
manda 📩 ou envia os dados da tua equipa para recrutamento@teampirates.pt.

#gopirates 🔵⚪️ https://t.co/76npxytvt9",2,Irrelevante
449,@jvlferraz larga mao do cs vamo migra pro valorant joaozinho,1,Relevante
450,"rt @ttvfid0: participe do sorteio e concorra a 2175 valorant points (pacote de r$59,90) para vc usar como quiser!

resultado sai dia 18 de…",2,Irrelevante
451,"cs &gt; valorant
o fer é um monstro
nba2k20 é horrivel
castanhari &gt; ead

verdades do dia",2,Irrelevante
452,"@ibadishi atualmente valorant, mas de todos da vida... provavelmente diablo",1,Relevante
453,"@sofiaespanha oi sofia, sou sagitariano e dou skin no valorant",2,Irrelevante
454,"@lucag26 mas se quiser feedar no valorant, tamo ganhando aqui easy hj",2,Irrelevante
455,@ogabrieuh_ oiiiiiiiiiii como vai o valorant?,2,Irrelevante
456,1- ela te troca por partida de valorant mas do nada retorna com 45 msgs,2,Irrelevante
457,@guiidz7 @projota chama o projota pra jogar um valorantzinho hehehe ele abre live de vez em quando pra jogar valorant e outros games... vai que cola né,2,Irrelevante
458,"aula no ead começa:
******: ei bora jogar um x1 cs
*****: bora valorant

kkkkkkkkkkk tudo indo bem por aqui",2,Irrelevante
459,"@tavaresrhu @_sharkira não achei muito legal não, deixa eu no meu valorant/overwatch mesmo",2,Irrelevante
460,eu to fechando e abrindo o valorant pq simplesmente sem nada p fazer,1,Relevante
461,"que toda tristeza seja convertida em skill de valorant, amém",1,Relevante
462,quero alguém p jogar valorant cmg nesse caraleo,1,Relevante
463,"@rafafranca08 @sofiaespanha @issueilish irmão, eu nem jogo valorant
eu sou de outro fps
mas por acaso esse post veio parar aq e eu faço questão de marcar a @riotgamesbrasil @valorantbrasil aqui nesse post
e depois me certifico de reportar esse mlk
atitude tóxica de pessoas q n deveriam nem existir em games!",2,Irrelevante
464,2 dia sem jogar valorant e eu já fico completamente horrível meu deus,1,Relevante
465,crianças jogando valorant 1:20 da manha ai eu pergunto onde ta a mae,1,Relevante
466,jogar valorant é dar bala em radiante e imortal e não conseguir sair do platina pq jogo solo,1,Relevante
467,"fds among fdp, eu vou pegar diamante no valorant se fuder porra😐",1,Relevante
468,"aiai, esse tal de valorant.... https://t.co/pwup83rlx4",2,Irrelevante
469,"rt @valorantzonegg: 👨‍🏫 guia: entenda o #valorant ignition series e saiba como funciona o circuito

veja quais são os próximos campeonatos…",2,Irrelevante
470,"valorant fora do ar amanhã, a partir das 13h https://t.co/gvecezruty",2,Irrelevante
471,"rt @gatakkj: jogando valorant com tds meus amigos gringos agr
que saudade kkkkkkkkkkkkk",2,Irrelevante
472,@bldcs_ esse é o valorant,2,Irrelevante
473,"rt @pauloviccs: miau caralho #valorant

🔗 https://t.co/04c8vbndom https://t.co/bot6xfka1k",2,Irrelevante
474,"eu era apaixonada em ver as pessoas jogarem valorant, mas agora não consigo nem olhar a tela do jogo aberta",1,Relevante
475,"rt @vinibq_: novidade quentíssima para as lives!!!! agora sim meu subs estarão trajados para assistir gameplay de valorant.

@rebecachuffi…",2,Irrelevante
476,sempre q eu jogo normal gamezin no valorant sempre tem um cara mt baludo no outro time,1,Relevante
477,rt @diogogmachadof: valorant é um jogo de corno,1,Relevante
478,@thereishai vamos mais tarde um valorant,2,Irrelevante
479,"@nichoneves @salvi_theminer @notisxbella eu jogo, mas vc tem q ir uma de valorant cmg😎🍃",2,Irrelevante
480,larguei fortnite fdc valorant eh mt melhor,1,Relevante
481,"segue aí, conta diretamente à #valorant",2,Irrelevante
482,@hwllraiserz amigo saí dessa vida.. só vou se for valorant,2,Irrelevante
483,"@1kingbr mano vários jogos ficaram off, valorant e r6 tbm🤦🏾‍♂️🤦🏾‍♂️",2,Irrelevante
484,"@victorkeos @riotgamesbrasil @riotgames @lolegendsbr @leagueoflegends o melhor é q tinha uma página no insta vendendo rp barato, ai fui ver o perfil pra denunciar, eles vendiam smurfs de valorant e skins prestígio, tipo vei??????",2,Irrelevante
485,"rt @glaucia_lemos86: desisto de jogar valorant online no competitivo. joguei de sage. abati 10 e dei 6 de assistência. mesmo assim, tinha u…",2,Irrelevante
486,@flirtwithdead ahaha eu digo isto pq n nem sei jogar e n tenho amigos nesse jogo pq joga só fifa ou cs e valorant 😭,2,Irrelevante
487,"@sofiaespanha @agostini2002 rmão, eu nem jogo valorant
eu sou de outro fps
mas por acaso esse post veio parar aq e eu faço questão de marcar a 
@riotgamesbrasil
 
@valorantbrasil
 aqui nesse post
e depois me certifico de reportar esse mlk
atitude tóxica de pessoas q n deveriam nem existir em games!",2,Irrelevante
488,"coisas inúteis sobre mim
altura — 1,66
idade — 18
tamanho do pé — 40/41  😭
signo — capricórnio
tatuagens — 0
piercing — 0
cor fav — azul
série fav — love victor
animal fav — todos
comida fav ー macarronada
bebida fav — suco de maracujá
jogo fav — valorant https://t.co/gqmfbkkr3p",2,Irrelevante
489,"anti do valorant funcionando legal, so o meu time todo travando e teleportando na direcao do time inimigo",1,Relevante
490,"vou dormir um pouco, se vazar skin nova do valorant espero que meus amigos lindos me mandem",2,Irrelevante
491,@gabrielzurmely @thaliciaa__ me da skin no valorant que te ajudo com ela,2,Irrelevante
492,"caraio eu fui jogar um valorant hj e foi so arrependimento, n joguei porra nenhuma e pqp como eu to possesso de raiva",2,Irrelevante
493,"@andre1tv player oldschool com disciplina e garra na mesma pegada, joga muito, e é dedicado como poucos! qualquer time de valorant só tem a ganhar com ele! quando ele tiver em time top br não vem reclamar depois tá? bom dia! https://t.co/xbypqekvyu",2,Irrelevante
494,ontem subi a prata 1 no valorant e hj já subi pra prata 2 graças ao meu perfeito namorado ❤️,1,Relevante
495,"rt @patochovsk: 💥sorteio de valorant points💥
haverá 2 ganhadores
ganhador 1: 5550 valorant points
ganhador 2: 5550 valorant points 
💥quanto…",2,Irrelevante
496,@girafodott valorant tbm,2,Irrelevante
497,jogador de lol foi jogar valorant veja o que rolou,2,Irrelevante
498,"alô valorant, encontro partida nunca ? 20 minutos na fila kkkk",1,Relevante
499,quem vai jogar um valorant cmg hj,1,Relevante
